epoch,train_loss,val_loss,val_f1
1,0.5519079353533763,0.36505948293012164,0.43900931767074525
2,0.34839351909165917,0.2176721522814134,0.8001898519511111
3,0.2230822136616775,0.13852646058896292,0.9071620672267402
4,0.14810847863909857,0.10008896478325166,0.9328951400598985
5,0.10729254575646768,0.0829824065408531,0.947655353621746
6,0.08528846988756719,0.07224447124908658,0.9570216612018609
7,0.07259635150281162,0.06504078946884584,0.9618483248034034
8,0.06391755964224889,0.05946987007745794,0.9646123631276409
9,0.058529033389790694,0.05474265804928473,0.9659062881594841
10,0.05401063748543964,0.0504703578530909,0.9674672692245733
11,0.04997704814907747,0.047178880080788986,0.9688409811894947
12,0.04694634888211142,0.044104714216392255,0.970174132769996
13,0.04408405693860121,0.04161104769120525,0.9712717342539257
14,0.04200064482344223,0.03940478120155377,0.9726862415532018
15,0.039805259696356114,0.03753867854744082,0.9729383842570319
16,0.03772331252528509,0.03572374077696055,0.9738091148764005
17,0.0361121192565037,0.034061501524499896,0.974495123037348
18,0.03419600764189534,0.03244995110428015,0.9750677187451526
19,0.032706676809328365,0.03065674365267366,0.9754723055397296
20,0.03124485533505858,0.029195371021195925,0.9767741278748127
21,0.029550366792159444,0.027319844665415254,0.9771430690787174
22,0.028103474902019268,0.0257143099358,0.9779740429089744
23,0.02635127046314373,0.024382626692252055,0.9786442529007519
24,0.025307790267705046,0.023017634577301285,0.9788905758953842
25,0.024066764388733834,0.021845971469636037,0.9812611496076536
26,0.02292442309000864,0.020667668240289223,0.9821333555288447
27,0.021780619575210547,0.01969859253004515,0.9830722257047857
28,0.02053488226871844,0.018897992067673307,0.9838677634450799
29,0.02027441020587695,0.018097660974084648,0.984332798400614
30,0.019349717808057484,0.017329788436637447,0.9855045367895704
31,0.018644107773038803,0.01675922956360265,0.9860410826562581
32,0.01785183374445546,0.01633429382199935,0.9868210242842386
33,0.0174665633700232,0.01585197645408756,0.9873006283017035
34,0.016902984094812817,0.015362781087904601,0.98821915242224
35,0.01608447605142445,0.014973258611472771,0.9880267180657194
36,0.01589557237091491,0.014592983129196428,0.9888361962155556
37,0.015554460168367494,0.01431575942467401,0.9885691470022309
38,0.015329851568095378,0.013940179983232043,0.9892716139160971
39,0.014727487924714889,0.01372211964699183,0.9893766837071511
40,0.014328498156104211,0.01341714687039543,0.989756590843091
41,0.01419760651381319,0.013208388501193654,0.9898205403133146
