epoch,train_loss,val_loss,val_f1
1,0.22496422365412455,0.03833669213450035,0.9721631451625665
2,0.05616629718334851,0.05189737717656164,0.9552391670300208
3,0.050162473823142054,0.020957104547736246,0.9808600032576489
4,0.035031325667463795,0.015442553880193567,0.985929482609859
5,0.027218153235590303,0.011715109196432068,0.9906595186135136
6,0.021817212073074903,0.009872857350098596,0.9923233748113748
7,0.02058436913838938,0.009106572263159385,0.9934244243960036
8,0.016664736462955028,0.0070440228448345075,0.9952139100196492
9,0.014015095863048983,0.005932476402844588,0.9962142729627652
10,0.011583169693835767,0.004803908279032688,0.996958431461712
11,0.009507426915277497,0.003927134153783436,0.9976223863378292
12,0.008039268341919925,0.003493003140234227,0.997965487085671
13,0.006869043014023685,0.0031851564072530028,0.9982350052638147
14,0.006082390106651064,0.0028917504078674367,0.9984322128894997
15,0.00540927609068433,0.0026821108455838925,0.9985522851393607
16,0.004785092200925103,0.0024304990145381923,0.99865573029908
17,0.004246523156996361,0.0022236389219150964,0.9987421058350445
18,0.0038286968811199,0.0020520912832181237,0.9988116735107252
19,0.0034662624481878656,0.0018849284294011625,0.9988788660684458
20,0.003106746991292292,0.001709409649353812,0.9989455282081869
21,0.0028532623693357014,0.0015731822480395115,0.9990535707079455
22,0.0025445883577692114,0.0013879200439252508,0.9991137257065505
23,0.002218197943545694,0.0011985048368708864,0.9992045374529187
24,0.0019701542968556186,0.001031632180905653,0.9992692248478411
25,0.0017502993063186847,0.0009607187447567211,0.9993148165008084
26,0.001542995139071543,0.000829440785280885,0.9994341625490563
27,0.001400545833583069,0.0007398162827667024,0.9994900495909967
28,0.0012772744792697137,0.0007192243689399809,0.9995298983565919
29,0.001177897904070209,0.0006625755124198519,0.9995768732053739
30,0.0010744730511454146,0.000658009957373702,0.9995585524728059
31,0.0010030303961272948,0.0005895713101860294,0.9995969024465683
32,0.0009201630523479123,0.0005492026905563272,0.9996511804829362
33,0.0008481325989532209,0.0005304871092349073,0.999656630402661
34,0.0008044737159065682,0.0005649065485091951,0.9996414325684677
35,0.0007452191209113733,0.0004953621157682141,0.9996615501596928
36,0.0006873091425624693,0.0004969800916245922,0.9996752525328318
