epoch,train_loss,val_loss,val_f1
1,0.01988044692435933,0.008994761366357015,0.9759171741301103
2,0.009167152171481927,0.008651209772298838,0.9771467684155258
3,0.008721355067971722,0.008315515983170412,0.9775863417297928
4,0.008557670502238296,0.008433123267812209,0.9775222897102886
5,0.008509690135328025,0.008437736668960548,0.9774935956876086
6,0.008469594813167662,0.0083373570700524,0.9781093746736298
7,0.00842087312872707,0.008104332249431113,0.9778167081113145
8,0.008345958310833955,0.008086775114822718,0.9777117051332936
9,0.00831744046024175,0.008051420029428344,0.9780771105102662
10,0.008303729809318405,0.008165572896638572,0.9775870182562956
11,0.008298896870824825,0.008130044734667347,0.9779597859191832
12,0.008258859087387466,0.008051006102339083,0.9779321574108417
13,0.00825577251925709,0.009011521372244561,0.9768651422982053
14,0.008226811576073093,0.008062390009384026,0.9779886681717017
15,0.008244264531841862,0.008026739043807607,0.9779484909791599
16,0.008205810089689031,0.00805589286676753,0.9762345807845465
17,0.00821004341526306,0.008128385455302456,0.9776931677554661
18,0.008184282150967283,0.008122729556936175,0.9777848981948882
19,0.00820399489048144,0.00813137201276256,0.9777996641053756
20,0.008181331336815088,0.008067860127450003,0.9781156866845134
21,0.008173312194115635,0.008119923675477066,0.9777243606004654
22,0.0081754602451422,0.007991451033936578,0.9779167965916734
23,0.008164073207365414,0.008070609784305646,0.977701089399979
24,0.008157560715592578,0.008020918152366446,0.9776238074439617
25,0.008130927690318234,0.008155487300097894,0.9777320756435974
26,0.008148602630186505,0.008062927910617988,0.9755536868536131
27,0.008167436481550513,0.008162108072505374,0.9780029594023872
28,0.008146195435888147,0.008024308618939262,0.9778404384136973
29,0.00812884622747762,0.007952227587675288,0.9779459090984226
30,0.008120972151832282,0.007989279958670489,0.9781381184500033
31,0.008138204139062138,0.007985164438121488,0.9778880519623996
32,0.008124733365328962,0.008098602709955997,0.9777798592199627
33,0.008109913062330023,0.007962434650174597,0.9782714265324648
34,0.008116216479050642,0.008037809282853647,0.9784136427076889
35,0.008083151534698515,0.007975997575777894,0.978272407824424
36,0.008099338750992429,0.007988773006127282,0.9776216010117768
37,0.008092777685653111,0.007974117710565705,0.9777416122570599
38,0.00808282394300369,0.008001805589057349,0.9782037711093919
39,0.008086023591814866,0.00802605888032452,0.9785155400014075
40,0.008076539971660673,0.008051956950193801,0.9754231093378984
41,0.008059216417526112,0.007956453820380802,0.9782603061898862
42,0.008076166010473397,0.008134784004823203,0.9779178796947439
43,0.00808418845835905,0.007998921033284135,0.9779511865401848
44,0.008067386665051794,0.007990844875429037,0.9778918714199454
45,0.008084935102445559,0.007935701682620998,0.9780225121739041
46,0.008067198250330315,0.007977930669422316,0.9780727175234645
47,0.008066676745090063,0.00796129637153548,0.9784848762144497
48,0.008081193996247711,0.007990076457487356,0.9779960016774659
49,0.0080479125990526,0.00795807499089575,0.9782374346223802
50,0.00805722067559314,0.007996143630217395,0.9780050587509909
51,0.00804106961132823,0.008030476394873236,0.9779975051209754
